,EVA,,,,SBT,,,,FPF,,,,RPF,,,,MYF,,,,PXD,,,,VNF,,
Time,Deformation,Von misses,Acceleration,,Deformation,Von misses,Acceleration,,Deformation,Von misses,Acceleration,,Deformation,Von misses,Acceleration,,Deformation,Von misses,Acceleration,,Deformation,Von misses,Acceleration,,Deformation,Von misses,Acceleration
0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0
0.000150318,0,0,0,,0.00626582,0,0,,0,0,0,,0,0,0,,0.00303038,0,0,,0.0010481,0,0,,0.00193671,0,0
0.000300118,0,2.20E-19,8.14E-18,,0.06265823,0,0,,0,2.75E-16,1.03E-14,,0,6.00E-13,2.23E-11,,0.0303038,0,0,,0.01048101,0,0,,0.01936709,0,0
0.000450779,0,1.37E-11,3.34E-10,,0.275,0.00000575,0,,4.34E-19,1.56E-08,3.75E-07,,4.89E-16,6.58E-06,0.000147151,,0.133,0.00002003,0,,0.046,0.00000676,0,,0.085,0.00000842,0
0.000600576,0,8.89E-08,1.86E-06,,0.26455696,0.03733569,0.00000146,,5.22E-15,4.22E-05,0.000844538,,2.18E-11,0.0023976,0.0446313,,0.12794937,0.12997157,0.00000286,,0.04425316,0.04387348,0.00000202,,0.08177215,0.0546366,0.00000174
0.000750371,4.25E-15,2.42E-05,0.000459771,,0.2485443,0,0.00001904,,7.09E-11,0.00367076,0.0654051,,2.47E-09,0.0629096,1.04925,,0.12020506,0.00000001,0.00003717,,0.04157468,0,0.00002629,,0.07682278,0,0.00002267
0.000900166,3.24E-13,0.00119453,0.0209134,,0.05778481,0.00000014,0.00093979,,2.98E-09,0.0616252,0.992473,,3.96E-08,0.568321,8.55614,,0.02794684,0.00000047,0.00183483,,0.00966582,0.00000016,0.00129781,,0.01786076,0.0000002,0.0011188
0.00105082,9.13E-10,0.0199603,0.322088,,0.0285443,0.00038344,0.01570367,,3.64E-08,0.440656,6.3707,,3.13E-07,2.87626,38.6508,,0.01380506,0.0013348,0.03065955,,0.00477468,0.00045058,0.02168602,,0.00882278,0.00056112,0.01869485
0.00120062,1.20E-08,0.155221,2.28167,,0.02158228,0.00503969,0.12211938,,2.35E-07,1.86031,23.7418,,1.54E-06,9.78418,114.923,,0.01043797,0.01754397,0.23842355,,0.00361013,0.00592218,0.16864105,,0.00667089,0.00737502,0.14538021
0.00135041,8.38E-08,0.719668,9.44351,,0.01427215,0.03519383,0.56619536,,1.00E-06,5.56077,61.0917,,5.46E-06,24.9323,247.083,,0.00690253,0.12251538,1.10542903,,0.00238734,0.04135655,0.78188883,,0.00441139,0.05150222,0.67404209
0.00150021,3.86E-07,2.30353,26.223,,0.00731013,0.16210999,1.81229121,,3.18E-06,12.8825,117.774,,1.50E-05,50.3054,397.757,,0.00353544,0.564331,3.53828283,,0.00122278,0.19049676,2.50268786,,0.00225949,0.23722979,2.15748953
0.00165,1.30E-06,5.56261,52.7551,,0.03481013,0.54596628,4.37635681,,8.01E-06,24.4467,177.951,,3.33E-05,83.5474,484.365,,0.01683544,1.90059663,8.54431567,,0.00582278,0.64156939,6.04354035,,0.01075949,0.79896044,5.20994858
0.00180066,3.41E-06,10.7475,79.9161,,0.02297468,1.43211154,8.45554421,,1.69E-05,39.6281,217.208,,6.24E-05,118.201,440.622,,0.01111139,4.98541115,16.50844346,,0.00384304,1.68288586,11.67670391,,0.00710127,2.0957347,10.06612406
0.00195045,7.28E-06,17.1668,91.8661,,0.01566456,3.05741115,13.50589778,,3.05E-05,56.3549,219.498,,0.000101027,146.22,282.995,,0.00757595,10.64334112,26.36865757,,0.00262025,3.59278859,18.6510017,,0.00484177,4.47417847,16.07844974
0.00210027,1.32E-05,23.6008,80.5627,,0.00939873,5.54365759,18.5678165,,4.89E-05,72.5184,190.305,,0.000145988,163.601,104.783,,0.00454557,19.29836576,36.25145126,,0.00157215,6.51439689,25.64127041,,0.00290506,8.1125214,22.10454345
0.00225008,2.08E-05,29.0514,56.2117,,0.00278481,8.73546044,22.85604998,,7.17E-05,86.5115,148.34,,0.000193437,171.18,4.09706,,0.00134684,30.40954604,44.62371662,,0.00046582,10.26511025,31.56311663,,0.00086076,12.78336706,27.20958331
0.00240076,2.98E-05,33.5136,40.8033,,0.0264557,12.51522698,26.36666448,,9.79E-05,97.6354,107.967,,0.000241251,173.362,19.3074,,0.01279494,43.5675227,51.47777351,,0.00442532,14.70674449,36.41110809,,0.00817722,18.31463165,31.38888629
0.00255058,3.97E-05,37.7278,46.8466,,0.02018987,16.67297017,29.68216617,,0.000126384,105.716,72.9602,,0.000288495,176.337,40.5391,,0.00976456,58.04129702,57.95089586,,0.00337722,19.59254215,40.98965805,,0.00624051,24.3990227,35.33591211
0.00270039,5.07E-05,42.46,63.9499,,0.01357595,21.29268482,33.40520188,,0.000156539,111.38,45.3086,,0.000336787,187.243,174.89,,0.00656582,74.12326848,65.21967987,,0.00227089,25.02120623,46.13099308,,0.0041962,31.1594572,39.76809748
0.00285021,6.31E-05,47.7917,72.5197,,0.00731013,26.50036316,37.59989135,,0.000187744,115.933,36.3164,,0.000389154,212.278,386.685,,0.00353544,92.25203632,73.40931169,,0.00122278,31.14079118,51.92365949,,0.00225949,38.78031064,44.76177542
0.003,7.71E-05,53.3845,67.4062,,0.00348101,32.38,42,,0.000219824,121.399,60.6954,,0.00045031,253.216,610.108,,0.00168354,112.72,82,,0.00058228,38.05,58,,0.00107595,47.3845,50
